day,0.05 - 10 - R1,0.05 - 10 - R2,0.05 - 10 - R3,0.05 - 10 - R4,0.05 - 20 - R1,0.05 - 20 - R2,0.05 - 20 - R3,0.05 - 20 - R4,0.05 - 40 - R1,0.05 - 40 - R2,0.05 - 40 - R3,0.05 - 40 - R4,0.05 - 100 - R1,0.05 - 100 - R2,0.05 - 100 - R3,0.05 - 100 - R4,0.05 - 200 - R1,0.05 - 200 - R2,0.05 - 200 - R3,0.05 - 200 - R4,0.125 - 10 - R1,0.125 - 10 - R2,0.125 - 10 - R3,0.125 - 10 - R4,0.125 - 20 - R1,0.125 - 20 - R2,0.125 - 20 - R3,0.125 - 20 - R4,0.125 - 40 - R1,0.125 - 40 - R2,0.125 - 40 - R3,0.125 - 100 - R1,0.125 - 100 - R2,0.125 - 100 - R3,0.125 - 100 - R4,0.125 - 200 - R1,0.125 - 200 - R2,0.125 - 200 - R3,0.125 - 200 - R4,0.25 - 10 - R2,0.25 - 10 - R3,0.25 - 10 - R4,0.25 - 20 - R1,0.25 - 20 - R2,0.25 - 20 - R3,0.25 - 20 - R4,0.25 - 40 - R1,0.25 - 40 - R2,0.25 - 40 - R3,0.25 - 40 - R4,0.25 - 100 - R1,0.25 - 100 - R2,0.25 - 100 - R4,0.25 - 200 - R1,0.25 - 200 - R2,0.25 - 200 - R3,0.25 - 200 - R4,0.25 - 20/180 - R1,0.25 - 20/180 - R2,0.25 - 20/180 - R4,0.25 - 20/600 - R1,0.25 - 20/600 - R2,0.25 - 20/600 - R3,0.25 - 20/600 - R4,0.5 - 10 - R1,0.5 - 10 - R2,0.5 - 10 - R3,0.5 - 10 - R4,0.5 - 20 - R1,0.5 - 20 - R2,0.5 - 20 - R3,0.5 - 20 - R4,0.5 - 40 - R1,0.5 - 40 - R2,0.5 - 40 - R3,0.5 - 40 - R4,0.5 - 100 - R1,0.5 - 100 - R2,0.5 - 100 - R3,0.5 - 100 - R4,0.5 - 200 - R1,0.5 - 200 - R2,0.5 - 200 - R3,0.5 - 200 - R4
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,3.03,0,0,3.7,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.25,0,0,0,0,2.99,1.67,0,0,0.81,0.94,0,0,0,0,0,0,0,0,0,0,10,0,18.75,0,5.88,0,30.3,6.06,8.33,29.63,1.33,7.89,12.12,3.41,5.657130566,2.272727273,0,1.82
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,5.56,18.75,3.13,0,0,4.17,8.96,8.33,0,0,0.81,0.94,0,0,0,0,0,0,0,0,10,11.11,10,11.11,25,26.67,23.53,13.33,39.39,18.18,22.22,51.85,8,17.11,21.21,14.77,20.75715208,11.36363636,0,14.55
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28.57,5.56,25,9.38,5.88,20,12.5,17.91,15,4.35,1.92,4.84,1.89,1.03,0,0,0,0,0,0,0,40,33.33,10,44.44,50,46.67,41.18,26.67,48.48,42.42,30.56,59.26,20,25,39.39,34.09,35.84641858,27.27272727,0,49.09
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,12.5,10,26.67,28.57,22.22,25,21.88,11.76,30,33.33,22.39,25,10.14,5.77,10.48,2.83,1.03,0,0,0,0,0,0,0,60,33.33,60,44.44,68.75,53.33,52.94,46.67,60.61,60.61,50,70.37,34.67,34.21,50,45.45,58.49645085,56.81818182,27.02792553,72.73
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,11.11,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,12.5,20,33.33,28.57,22.22,31.25,25,20.59,30,45.83,23.88,33.33,13.04,6.73,14.52,4.72,4.12,11.76,0,0,5.26,0,0,0,70,55.56,60,44.44,75,60,76.47,53.33,69.7,66.67,58.33,85.19,38.67,47.37,66.67,59.09,71.70359217,84.09090909,59.46365248,85.45
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,22.22,0,7.69,6.67,3.03,0,2.63,0,0,0,1.16,0,1.41,0,0,12.5,50,40,50,22.22,31.25,40.63,26.47,36.67,58.33,29.85,36.67,21.74,8.65,20.97,6.6,5.15,23.53,9.523809524,6.67,5.26,0,5,0,70,55.56,90,44.44,81.25,66.67,94.12,73.33,87.88,78.79,66.67,92.59,57.33,59.21,75.76,64.77,88.68573887,95.45454545,78.37987589,98.18
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,11.11,0,0,22.22,0,7.69,6.67,9.09,0,2.63,0,0,0,4.65,0,1.41,0,0,12.5,50,40,64.29,27.78,31.25,46.88,41.18,43.33,70.83,43.28,45,24.64,12.5,29.03,9.43,14.43,29.41,14.28571429,6.67,5.26,0,10,6.25,80,77.78,90,44.44,87.5,93.33,100,73.33,93.94,87.88,75,92.59,66.67,71.05,90.91,76.14,100,100,100,100
