food_level;density;replicate;EmT50
0.05;10;1;60.734
0.05;10;2;62.454
0.05;10;4;57.829
0.05;20;1;57.789
0.05;20;2;45.385
0.05;20;3;47.06
0.05;20;4;40.905
0.05;40;1;51.522
0.05;40;2;49.894
0.05;40;3;59.602
0.05;40;4;55.13
0.05;100;1;78.368
0.05;100;2;119.028
0.05;100;3;75.837
0.05;100;4;62.607
0.05;200;1;60.999
0.05;200;2;60.398
0.05;200;3;62.106
0.05;200;4;50.101
0.125;10;1;38.059
0.125;10;2;35.966
0.125;10;3;44.648
0.125;10;4;34.924
0.125;20;1;32.456
0.125;20;2;28.972
0.125;20;3;39.196
0.125;20;4;33.242
0.125;40;1;31.863
0.125;40;2;35.414
0.125;40;3;36.947
0.125;100;1;32.937
0.125;100;2;34.484
0.125;100;3;35.959
0.125;100;4;33.768
0.125;200;1;35.554
0.125;200;2;37.26
0.125;200;3;34.687
0.125;200;4;35.734
0.25;10;2;25.923
0.25;10;3;26.557
0.25;10;4;23.314
0.25;20;1;23.078
0.25;20;2;21.438
0.25;20;3;23.943
0.25;20;4;22.758
0.25;40;1;22.391
0.25;40;2;23.303
0.25;40;3;22.211
0.25;40;4;20.476
0.25;100;1;22.896
0.25;100;2;22.285
0.25;100;4;25.35
0.25;200;1;26.606
0.25;200;2;24.57
0.25;200;3;27.508
0.25;200;4;26.611
0.5;10;1;19.171
0.5;10;2;20.177
0.5;10;3;19.118
0.5;10;4;20.47
0.5;20;1;18.225
0.5;20;2;18.91
0.5;20;3;18.483
0.5;20;4;19.687
0.5;40;1;18.053
0.5;40;2;18.804
0.5;40;3;19.542
0.5;40;4;17.512
0.5;100;1;20.628
0.5;100;2;20.132
0.5;100;3;18.872
0.5;100;4;19.569
0.5;200;1;18.609
0.5;200;2;18.681
0.5;200;3;19.823
0.5;200;4;18.236
